Quantity,Value,Footprint,Reference
6,47uF/6.3V/20%/X5R/C0805,C_0805_5MIL_DWS,"C2, C3, C6, C8, C9, C10"
3,100nF/10V/20%/X5R/C0402,C_0402_5MIL_DWS,"C4, C5, C7"
8,DG306-5.0-3P,TB3-DG306-5.0_3P,"CON_REL1, CON_REL2, CON_REL3, CON_REL4, IN1, IN2, IN3, IN4"
4,1N4148W(SOD-123),SOD-123_1C-2A_KA,"D1, D2, D7, D8"
4,1N4007/SMA,SMA-KA,"D3, D4, D5, D6"
1,SMBJ6.0A,DO214AA_1(K)-2(A),D9
2,PN1x20,PN1x20,"EXT2, EXT3"
1,FB0805/600R/2A,L_0805_5MIL_DWS,L1
4,LED/GREEN/0603,LED_0603_KA,"LED1, LED2, LED3, LED4"
5,LED/RED/0603,LED_0603_KA,"LED_IN1, LED_IN2, LED_IN3, LED_IN4, PWR_LED1"
4,PC817CS_CYPC817(C-TP2),H11A817C_SMD(PC817X3NIP06)_FP,"OPT1, OPT2, OPT3, OPT4"
1,DG306-5.0-2P,TB2-DG306-5.0_2P,PWR1
8,150k/R1206,R_1206_5MIL_DWS,"R1, R3, R5, R7, R11, R12, R13, R14"
4,3.9k/R1206,R_1206_5MIL_DWS,"R2, R4, R6, R8"
7,2.2k/R0402,R_0402_5MIL_DWS,"R9, R10, R17, R18, R23, R26, R27"
1,24.9k/1%/R0402,R_0402_5MIL_DWS,R15
1,6.81k/1%/R0402,R_0402_5MIL_DWS,R16
4,47k/R0402,R_0402_5MIL_DWS,"R19, R20, R21, R22"
2,5.1k/1%/R0402,R_0402_5MIL_DWS,"R24, R25"
4,RAS-0515,Relay_RAS-05-15,"REL1, REL2, REL3, REL4"
4,LMUN2235LT1G(SOT-23),SOT23,"T1, T2, T3, T4"
1,TPS2116,SOT-5X3,U1
1,P-B-V-10-LF,GBH-254-SMT-10,UEXT1
1,USB-C-16P-F(A40-00119-A52-12),USB2.0_TYPE-C(A40-00119-A52-12)_Paste,USB-PWR1
